iter	Passed	Remaining
0	13	12990
1	25	12747
2	37	12472
3	49	12331
4	61	12178
5	72	12037
6	83	11864
7	94	11753
8	106	11776
9	118	11754
10	129	11648
11	141	11665
12	153	11651
13	165	11622
14	176	11589
15	187	11521
16	200	11569
17	212	11605
18	224	11616
19	237	11648
20	248	11597
21	259	11525
22	272	11574
23	285	11606
24	297	11617
25	308	11544
26	320	11556
27	333	11569
28	345	11578
29	357	11574
30	371	11621
31	383	11592
32	400	11740
33	411	11694
34	423	11687
35	436	11695
36	446	11610
37	457	11579
38	470	11584
39	482	11568
40	493	11543
41	502	11471
42	514	11460
43	525	11408
44	534	11344
45	543	11266
46	556	11284
47	567	11254
48	574	11150
49	581	11050
50	591	10997
51	602	10986
52	613	10964
53	622	10904
54	632	10862
55	641	10820
56	650	10763
57	660	10719
58	671	10707
59	680	10665
60	691	10642
61	701	10618
62	711	10584
63	723	10581
64	735	10576
65	744	10536
66	753	10489
67	762	10446
68	775	10458
69	787	10459
70	795	10412
71	805	10383
72	815	10354
73	822	10295
74	833	10281
75	844	10262
76	852	10219
77	862	10191
78	872	10173
79	881	10139
80	892	10129
81	901	10091
82	913	10092
83	924	10082
84	933	10043
85	943	10028
86	955	10024
87	964	9992
88	975	9985
89	984	9955
90	995	9947
91	1006	9931
92	1014	9895
93	1023	9868
94	1034	9859
95	1045	9847
96	1054	9812
97	1065	9806
98	1074	9777
99	1083	9755
100	1094	9739
101	1102	9706
102	1112	9692
103	1122	9667
104	1132	9652
105	1141	9630
106	1152	9615
107	1163	9609
108	1172	9581
109	1181	9555
110	1190	9536
111	1200	9522
112	1213	9525
113	1225	9522
114	1236	9515
115	1247	9505
116	1258	9499
117	1268	9485
118	1277	9454
119	1286	9437
120	1296	9420
121	1306	9405
122	1316	9388
123	1326	9374
124	1337	9359
125	1347	9346
126	1359	9345
127	1368	9320
128	1377	9298
129	1385	9273
130	1397	9272
131	1408	9261
132	1417	9240
133	1427	9223
134	1439	9221
135	1449	9207
136	1461	9204
137	1471	9188
138	1481	9174
139	1489	9149
140	1498	9129
141	1509	9121
142	1520	9109
143	1530	9096
144	1540	9084
145	1550	9071
146	1558	9045
147	1569	9034
148	1581	9030
149	1592	9026
150	1603	9017
151	1614	9007
152	1623	8989
153	1633	8974
154	1641	8950
155	1653	8946
156	1661	8919
157	1672	8911
158	1681	8892
159	1691	8878
160	1703	8876
161	1711	8850
162	1721	8841
163	1732	8832
164	1741	8812
165	1748	8784
166	1757	8764
167	1767	8753
168	1777	8737
169	1787	8725
170	1797	8716
171	1808	8708
172	1820	8702
173	1830	8691
174	1841	8681
175	1849	8656
176	1856	8632
